symbol,tf,strategy,profile,trades,win_rate,pf,sharpe,expectancy,net_return,pnl_usd,max_dd,oos_sharpe,p_loss,dsr,beats_hold,ret%,oos_keep,excess_vs_hold,mc_ret_p05,mc_dd_p05,P_loss%
BTCUSD,1h,price_action,Intraday,434,0.4171,1.1051,0.6921,0.001047,0.392448,196.22,-0.3845,3.9662,0.244,0.016,False,39.2,0.94,-0.3281,-36.9,-56.5,24.0
BTCUSD,1h,price_action,Aggressive,431,0.29,1.0644,0.3907,0.000598,0.14365,71.82,-0.3991,1.9523,0.393,0.0055,False,14.4,0.82,-0.5769,-47.6,-60.9,39.0
BTCUSD,1h,price_action,Intraday_Trailing,434,0.4171,1.1051,0.6921,0.001047,0.392448,196.22,-0.3845,3.9662,0.244,0.016,False,39.2,0.94,-0.3281,-36.9,-56.5,24.0
BTCUSD,1h,price_action,Scale_Out_2R,407,0.3808,1.1217,0.7734,0.001284,0.468188,234.09,-0.3884,4.2832,0.2343,0.0197,False,46.8,0.87,-0.2524,-37.7,-58.0,23.0
BTCUSD,1h,smc,Scalping,869,0.3291,0.807,-1.4519,-0.001037,-0.615966,-307.98,-0.625,-9.047,0.9967,0.0,False,-61.6,1.04,-1.3365,-78.0,-79.2,100.0
BTCUSD,1h,smc,Intraday,507,0.3826,0.9637,-0.2525,-0.000368,-0.274296,-137.15,-0.5012,-1.6157,0.7377,0.0003,False,-27.4,0.97,-0.9948,-67.9,-74.6,74.0
BTCUSD,1h,smc,Aggressive,506,0.2648,0.9748,-0.159,-0.000223,-0.209735,-104.87,-0.5433,-1.8809,0.6993,0.0005,False,-21.0,1.68,-0.9303,-65.1,-71.3,70.0
BTCUSD,1h,smc,Intraday_Trailing,507,0.3826,0.9637,-0.2525,-0.000368,-0.274296,-137.15,-0.5012,-1.6157,0.7377,0.0003,False,-27.4,0.97,-0.9948,-67.9,-74.6,74.0
BTCUSD,1h,smc,Scale_Out_2R,459,0.3638,1.0062,0.0412,6.4e-05,-0.101071,-50.54,-0.4894,-0.2556,0.5847,0.0013,False,-10.1,-0.37,-0.8216,-61.9,-70.4,58.0
BTCUSD,2h,ma_crossover,Scalping,760,0.3487,0.9011,-0.7349,-0.000709,-0.465872,-232.94,-0.5876,-4.5201,0.936,0.0,False,-46.6,0.98,-1.1864,-72.6,-75.9,94.0
BTCUSD,2h,ma_crossover,Intraday,302,0.3874,0.9973,-0.0194,-3.8e-05,-0.141611,-70.81,-0.5059,-0.2517,0.6257,0.001,False,-14.2,0.49,-0.8622,-64.2,-72.4,63.0
BTCUSD,2h,ma_crossover,Aggressive,322,0.2919,1.1007,0.6244,0.001245,0.276457,138.23,-0.3902,3.5523,0.3427,0.0095,False,27.6,0.98,-0.4441,-48.9,-63.6,34.0
BTCUSD,2h,ma_crossover,Intraday_Trailing,302,0.3874,0.9973,-0.0194,-3.8e-05,-0.141611,-70.81,-0.5059,-0.2517,0.6257,0.001,False,-14.2,0.49,-0.8622,-64.2,-72.4,63.0
BTCUSD,2h,ma_crossover,Scale_Out_2R,291,0.3608,1.0412,0.2802,0.000582,0.014473,7.24,-0.5008,1.4856,0.502,0.0029,False,1.4,0.96,-0.7061,-58.5,-69.4,50.0
BTCUSD,2h,mean_reversion,Scalping,281,0.2989,0.7822,-1.627,-0.001833,-0.42863,-214.31,-0.5008,-9.6812,0.9727,0.0,False,-42.9,1.01,-1.1492,-63.9,-66.2,97.0
BTCUSD,2h,mean_reversion,Intraday,197,0.3401,0.8973,-0.7326,-0.001533,-0.335113,-167.56,-0.4466,-4.5832,0.813,0.0001,False,-33.5,1.09,-1.0557,-68.4,-73.0,81.0
BTCUSD,2h,mean_reversion,Aggressive,208,0.2452,0.8913,-0.7053,-0.001474,-0.340765,-170.38,-0.4903,-4.181,0.8233,0.0001,False,-34.1,1.07,-1.0613,-69.4,-73.2,82.0
BTCUSD,2h,mean_reversion,Intraday_Trailing,197,0.3401,0.8973,-0.7326,-0.001533,-0.335113,-167.56,-0.4466,-4.5832,0.813,0.0001,False,-33.5,1.09,-1.0557,-68.4,-73.0,81.0
BTCUSD,2h,mean_reversion,Scale_Out_2R,183,0.3279,0.9345,-0.4478,-0.00101,-0.258127,-129.06,-0.4344,-3.0205,0.7353,0.0003,False,-25.8,1.36,-0.9787,-65.0,-70.6,74.0
BTCUSD,2h,bb_rsi_reversion,Scalping,220,0.3,0.8105,-1.4299,-0.001552,-0.311961,-155.98,-0.3621,-8.6669,0.934,0.0,False,-31.2,1.03,-1.0325,-55.5,-57.8,93.0
BTCUSD,2h,bb_rsi_reversion,Intraday,176,0.3409,0.9455,-0.3821,-0.000798,-0.209352,-104.68,-0.4072,-2.5944,0.72,0.0004,False,-20.9,0.99,-0.9299,-60.1,-66.0,72.0
BTCUSD,2h,bb_rsi_reversion,Aggressive,187,0.2406,0.9269,-0.468,-0.000963,-0.241219,-120.61,-0.3746,-3.087,0.7493,0.0003,False,-24.1,1.09,-0.9618,-62.2,-67.3,75.0
BTCUSD,2h,bb_rsi_reversion,Intraday_Trailing,176,0.3409,0.9455,-0.3821,-0.000798,-0.209352,-104.68,-0.4072,-2.5944,0.72,0.0004,False,-20.9,0.99,-0.9299,-60.1,-66.0,72.0
